ACCESSION: NGA00928
RECORD_TITLE: 3-Hydroxy-12-ursen-28-oic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 3-Hydroxy-12-ursen-28-oic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H48O3
CH$EXACT_MASS: 456.7153
CH$SMILES: C[C@@H]1C2C3=CC[C@@H]4[C@@]5(C)CCC(O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CCC2(C(=O)O)CC[C@H]1C
CH$IUPAC: InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23?,24?,27+,28-,29-,30?/m1/s1
CH$LINK: CAS 77-52-1
CH$LINK: CHEMSPIDER 58472
CH$LINK: INCHIKEY WCGUUGGRBIKTOS-MUVOVJNASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-004r-4889880000-f7c8891e237b8b46088a
PK$NUM_PEAK: 3788
PK$PEAK: m/z int. rel.int.
  126.8 13.71 13
  127.0 6.26 6
  127.1 9.8 9
  127.2 14.98 14
  127.3 16.41 16
  127.4 12.24 12
  127.6 4.18 4
  127.7 7.94 7
  127.8 13.82 13
  127.9 16.19 16
  128.0 13.2 13
  128.1 7.98 7
  128.3 6.88 6
  128.4 10.66 10
  128.5 13.06 13
  128.6 12.31 12
  128.7 9.5 9
  128.9 6.92 6
  129.0 8.99 8
  129.1 11.7 11
  129.2 12.54 12
  129.3 10.36 10
  129.5 6.33 6
  129.6 9.37 9
  129.7 13.95 13
  129.8 16.25 16
  129.9 14.18 14
  130.0 9.01 9
  130.2 3.19 3
  130.3 6.11 6
  130.4 10.49 10
  130.5 12.75 12
  130.8 9.79 9
  130.9 13.62 13
  131.0 18.54 18
  131.1 20.42 20
  131.2 17.34 17
  131.3 11.52 11
  131.5 7.98 7
  131.6 11.94 11
  131.7 15.51 15
  131.8 15.34 15
  131.9 11.39 11
  132.1 6.79 6
  132.2 11.05 11
  132.3 16.48 16
  132.4 18.46 18
  132.5 15.43 15
  133.4 8.46 8
  133.5 13.55 13
  133.6 17.2 17
  133.7 16.67 16
  133.8 12.55 12
  134.0 7.92 7
  134.1 11.96 11
  134.2 17.51 17
  134.3 20.02 19
  134.4 17.43 17
  134.5 12.01 11
  134.7 9.01 9
  134.8 12.66 12
  134.9 15.66 15
  135.0 15.22 15
  135.1 11.48 11
  135.3 6.48 6
  135.4 9.71 9
  135.5 14.17 14
  135.6 15.41 15
  135.7 12.14 12
  135.9 7.21 7
  136.0 11.29 11
  136.1 16.41 16
  136.2 18.26 18
  136.3 15.8 15
  136.4 11.52 11
  136.6 8.47 8
